LOCATION,TIME,Value
OEU,1997,1732.42
OEU,1998,1749.09
OEU,1999,1741.79
OEU,2000,1758.98
OEU,2001,1792.9
OEU,2002,1792.63
OEU,2003,1835.28
OEU,2004,1854.28
OEU,2005,1863.31
OEU,2006,1879.63
OEU,2007,1855.47
OEU,2008,1853.29
OEU,2009,1758.56
OEU,2010,1828.15
OEU,2011,1766.83
OEU,2012,1761.38
OEU,2013,1747.75
OEU,2014,1688.37
OEU,2015,1714.86
OEU,2016,1730.88
OEU,2017,1761.25
ALB,1990,2.67
ALB,1991,1.87
ALB,1992,1.36
ALB,1993,1.33
ALB,1994,1.42
ALB,1995,1.33
ALB,1996,1.42
ALB,1997,1.21
ALB,1998,1.33
ALB,1999,1.79
ALB,2000,1.79
ALB,2001,1.83
ALB,2002,2.01
ALB,2003,1.97
ALB,2004,2.17
ALB,2005,2.17
ALB,2006,2.12
ALB,2007,2.02
ALB,2008,2.09
ALB,2009,2.14
ALB,2010,2.12
ALB,2011,2.22
ALB,2012,2.0
ALB,2013,2.32
ALB,2014,2.34
ALB,2015,2.19
ALB,2016,2.25
ALB,2017,2.35
DZA,1990,22.19
DZA,1991,23.47
DZA,1992,24.02
DZA,1993,24.11
DZA,1994,23.24
DZA,1995,24.25
DZA,1996,23.48
DZA,1997,24.06
DZA,1998,24.9
DZA,1999,26.58
DZA,2000,27.0
DZA,2001,27.05
DZA,2002,28.94
DZA,2003,30.76
DZA,2004,31.14
DZA,2005,32.42
DZA,2006,34.72
DZA,2007,36.84
DZA,2008,37.28
DZA,2009,40.77
DZA,2010,40.09
DZA,2011,41.82
DZA,2012,45.97
DZA,2013,47.59
DZA,2014,51.77
DZA,2015,54.29
DZA,2016,53.75
DZA,2017,55.52
ARG,1990,46.07
ARG,1991,47.49
ARG,1992,49.94
ARG,1993,50.09
ARG,1994,53.28
ARG,1995,54.05
ARG,1996,56.05
ARG,1997,57.84
ARG,1998,59.82
ARG,1999,60.84
ARG,2000,61.57
ARG,2001,58.56
ARG,2002,56.92
ARG,2003,60.9
ARG,2004,66.53
ARG,2005,66.93
ARG,2006,72.82
ARG,2007,73.76
ARG,2008,77.67
ARG,2009,75.52
ARG,2010,78.68
ARG,2011,80.55
ARG,2012,81.03
ARG,2013,83.15
ARG,2014,83.52
ARG,2015,85.57
ARG,2016,86.31
ARG,2017,85.35
ARM,1990,7.71
ARM,1991,8.13
ARM,1992,4.13
ARM,1993,2.19
ARM,1994,1.38
ARM,1995,1.64
ARM,1996,1.78
ARM,1997,1.86
ARM,1998,1.9
ARM,1999,1.83
ARM,2000,2.01
ARM,2001,2.01
ARM,2002,1.88
ARM,2003,1.98
ARM,2004,2.09
ARM,2005,2.51
ARM,2006,2.56
ARM,2007,2.85
ARM,2008,3.0
ARM,2009,2.61
ARM,2010,2.48
ARM,2011,2.72
ARM,2012,2.97
ARM,2013,2.9
ARM,2014,2.96
ARM,2015,2.97
ARM,2016,3.0
ARM,2017,3.19
AZE,1990,22.67
AZE,1991,22.46
AZE,1992,18.2
AZE,1993,16.31
AZE,1994,14.8
AZE,1995,13.91
AZE,1996,11.75
AZE,1997,11.32
AZE,1998,11.75
AZE,1999,10.93
AZE,2000,11.3
AZE,2001,11.45
AZE,2002,11.56
AZE,2003,12.16
AZE,2004,12.79
AZE,2005,13.43
AZE,2006,13.23
AZE,2007,12.12
AZE,2008,13.33
AZE,2009,11.94
AZE,2010,11.59
AZE,2011,12.56
AZE,2012,13.69
AZE,2013,13.88
AZE,2014,14.33
AZE,2015,14.36
AZE,2016,14.22
AZE,2017,14.34
BGD,1990,12.75
BGD,1991,12.57
BGD,1992,13.25
BGD,1993,13.82
BGD,1994,14.62
BGD,1995,15.79
BGD,1996,15.92
BGD,1997,16.62
BGD,1998,17.13
BGD,1999,17.8
BGD,2000,18.52
BGD,2001,20.31
BGD,2002,20.81
BGD,2003,21.59
BGD,2004,22.26
BGD,2005,23.25
BGD,2006,24.95
BGD,2007,25.84
BGD,2008,26.84
BGD,2009,28.28
BGD,2010,30.05
BGD,2011,31.05
BGD,2012,32.64
BGD,2013,33.9
BGD,2014,35.0
BGD,2015,37.79
BGD,2016,39.56
BGD,2017,40.52
BLR,1990,45.55
BLR,1991,44.38
BLR,1992,37.04
BLR,1993,31.56
BLR,1994,26.82
BLR,1995,24.82
BLR,1996,25.5
BLR,1997,25.44
BLR,1998,24.94
BLR,1999,24.29
BLR,2000,24.7
BLR,2001,24.82
BLR,2002,25.3
BLR,2003,26.03
BLR,2004,26.91
BLR,2005,26.89
BLR,2006,28.63
BLR,2007,28.04
BLR,2008,28.07
BLR,2009,26.57
BLR,2010,27.5
BLR,2011,29.22
BLR,2012,30.47
BLR,2013,27.17
BLR,2014,27.68
BLR,2015,25.23
BLR,2016,25.04
BLR,2017,25.51
BIH,1990,7.02
BIH,1991,6.32
BIH,1992,4.45
BIH,1993,3.71
BIH,1994,1.44
BIH,1995,1.49
BIH,1996,1.75
BIH,1997,2.69
BIH,1998,3.35
BIH,1999,3.31
BIH,2000,4.35
BIH,2001,4.2
BIH,2002,4.41
BIH,2003,4.4
BIH,2004,4.81
BIH,2005,5.04
BIH,2006,5.3
BIH,2007,5.3
BIH,2008,5.96
BIH,2009,6.22
BIH,2010,6.48
BIH,2011,7.15
BIH,2012,6.68
BIH,2013,6.45
BIH,2014,6.0
BIH,2015,6.18
BIH,2016,6.75
BIH,2017,6.76
BRA,1990,140.3
BRA,1991,142.95
BRA,1992,144.45
BRA,1993,148.07
BRA,1994,155.88
BRA,1995,161.21
BRA,1996,169.8
BRA,1997,178.42
BRA,1998,182.71
BRA,1999,186.86
BRA,2000,187.67
BRA,2001,191.0
BRA,2002,196.11
BRA,2003,199.34
BRA,2004,210.49
BRA,2005,215.81
BRA,2006,223.31
BRA,2007,235.96
BRA,2008,249.18
BRA,2009,240.94
BRA,2010,266.53
BRA,2011,270.28
BRA,2012,280.63
